timestamp,epoch,train_loss,val_loss,val_acc,rank,world_size,arch
1778535043.6602805,1,1.817644,1.566273,43.23,1,4,compressed_ring_ar
1778535125.8562222,2,1.37438,1.292289,51.87,1,4,compressed_ring_ar
1778535209.3716245,3,1.201191,1.130416,59.53,1,4,compressed_ring_ar
1778535292.2124865,4,1.041089,1.166814,60.2,1,4,compressed_ring_ar
1778535376.0045536,5,0.93215,0.95181,66.43,1,4,compressed_ring_ar
1778535459.924043,6,0.854105,0.930568,67.86,1,4,compressed_ring_ar
1778535543.1971698,7,0.797859,0.766817,72.66,1,4,compressed_ring_ar
1778535626.510854,8,0.734367,0.82061,71.99,1,4,compressed_ring_ar
1778535710.686423,9,0.678823,0.735631,73.76,1,4,compressed_ring_ar
1778535794.6786916,10,0.64494,0.711554,76.19,1,4,compressed_ring_ar
1778535878.7905333,11,0.606518,0.671425,77.24,1,4,compressed_ring_ar
1778535961.9313369,12,0.559245,0.659351,77.56,1,4,compressed_ring_ar
1778536045.951435,13,0.544273,0.616937,79.06,1,4,compressed_ring_ar
1778536129.5712147,14,0.524611,0.585526,79.7,1,4,compressed_ring_ar
1778536213.7282362,15,0.498834,0.56314,80.94,1,4,compressed_ring_ar
1778536297.5293732,16,0.507027,0.563309,80.51,1,4,compressed_ring_ar
1778536380.7279027,17,0.486383,0.548507,81.51,1,4,compressed_ring_ar
1778536464.4112625,18,0.470323,0.537909,81.74,1,4,compressed_ring_ar
1778536548.1935482,19,0.470002,0.532441,81.91,1,4,compressed_ring_ar
1778536631.829932,20,0.46288,0.529943,81.95,1,4,compressed_ring_ar
