timestamp,epoch,iteration,loss,throughput_samp_s,comm_latency_ms,iter_time_ms,rank,world_size,arch
1778536653.243874,1,0,2.396962,71.51,207.511,1789.335,0,4,compressed_ring_ar
1778536654.8389385,1,1,2.33532,84.69,804.221,1510.228,0,4,compressed_ring_ar
1778536656.3210466,1,2,2.264103,88.98,411.609,1433.681,0,4,compressed_ring_ar
1778536657.6364698,1,3,2.308386,102.07,190.315,1251.434,0,4,compressed_ring_ar
1778536659.0729282,1,4,2.271759,91.42,404.02,1398.554,0,4,compressed_ring_ar
1778536660.4931712,1,5,2.314734,93.66,280.353,1363.709,0,4,compressed_ring_ar
1778536661.7527184,1,6,2.288526,105.6,252.355,1211.029,0,4,compressed_ring_ar
1778536663.207212,1,7,2.245524,93.76,679.557,1363.895,0,4,compressed_ring_ar
1778536664.6059418,1,8,2.243627,96.0,180.935,1331.643,0,4,compressed_ring_ar
1778536666.0376155,1,9,2.205846,93.39,326.164,1369.587,0,4,compressed_ring_ar
1778536667.585269,1,10,2.224211,85.66,564.266,1490.058,0,4,compressed_ring_ar
1778536668.7565956,1,11,2.193418,113.42,314.041,1126.034,0,4,compressed_ring_ar
1778536670.190424,1,12,2.193159,93.55,720.421,1363.786,0,4,compressed_ring_ar
1778536671.5257258,1,13,2.189613,100.44,171.616,1272.084,0,4,compressed_ring_ar
1778536672.9014678,1,14,2.152621,96.51,353.772,1319.185,0,4,compressed_ring_ar
1778536674.1711416,1,15,2.166183,105.49,216.164,1212.572,0,4,compressed_ring_ar
1778536675.5731893,1,16,2.17207,96.3,210.68,1320.227,0,4,compressed_ring_ar
1778536676.9133089,1,17,2.199498,98.98,218.04,1288.351,0,4,compressed_ring_ar
1778536678.1867902,1,18,2.172985,105.17,231.965,1212.508,0,4,compressed_ring_ar
1778536679.648505,1,19,2.068189,90.54,264.325,1408.846,0,4,compressed_ring_ar
1778536681.0618086,1,20,2.001904,93.91,199.88,1354.533,0,4,compressed_ring_ar
1778536682.079961,1,21,2.10941,131.48,196.491,971.148,0,4,compressed_ring_ar
1778536683.478697,1,22,2.142443,95.36,546.274,1340.913,0,4,compressed_ring_ar
1778536684.826626,1,23,1.892511,101.17,434.313,1263.119,0,4,compressed_ring_ar
1778536686.1526797,1,24,2.049273,100.37,209.863,1270.546,0,4,compressed_ring_ar
1778536687.5049684,1,25,2.078373,97.55,211.461,1308.303,0,4,compressed_ring_ar
1778536688.8937914,1,26,2.025286,94.64,269.254,1346.333,0,4,compressed_ring_ar
1778536690.2254262,1,27,2.151892,100.28,254.767,1271.821,0,4,compressed_ring_ar
1778536691.5082185,1,28,2.072484,104.47,365.831,1220.637,0,4,compressed_ring_ar
1778536692.6942906,1,29,2.01772,112.06,134.443,1140.44,0,4,compressed_ring_ar
1778536694.1283693,1,30,2.123897,93.05,476.632,1370.932,0,4,compressed_ring_ar
1778536695.3791893,1,31,1.86175,107.01,215.719,1191.684,0,4,compressed_ring_ar
1778536696.6167378,1,32,1.949002,107.53,189.455,1185.718,0,4,compressed_ring_ar
1778536697.8911624,1,33,2.002022,104.29,230.593,1220.502,0,4,compressed_ring_ar
1778536699.275598,1,34,2.013869,95.37,271.089,1338.089,0,4,compressed_ring_ar
1778536700.654421,1,35,1.946457,97.64,208.038,1305.874,0,4,compressed_ring_ar
1778536701.855242,1,36,2.027645,110.69,204.814,1153.742,0,4,compressed_ring_ar
1778536703.2263567,1,37,2.14282,96.44,385.026,1326.001,0,4,compressed_ring_ar
1778536704.5609725,1,38,2.014142,102.86,206.264,1239.882,0,4,compressed_ring_ar
1778536705.9100432,1,39,1.994761,97.92,270.042,1302.676,0,4,compressed_ring_ar
1778536707.1548386,1,40,1.988192,106.37,208.107,1200.694,0,4,compressed_ring_ar
1778536708.5092392,1,41,1.877329,97.27,391.924,1311.324,0,4,compressed_ring_ar
1778536709.707164,1,42,1.910892,110.86,195.171,1153.416,0,4,compressed_ring_ar
1778536711.1434112,1,43,2.002259,94.37,432.777,1354.984,0,4,compressed_ring_ar
1778536712.5007436,1,44,2.00123,97.87,224.995,1300.144,0,4,compressed_ring_ar
1778536713.608383,1,45,1.860126,120.6,195.825,1059.206,0,4,compressed_ring_ar
1778536715.066974,1,46,1.782888,91.55,212.531,1392.951,0,4,compressed_ring_ar
1778536716.1562545,1,47,1.879948,123.39,264.931,1035.63,0,4,compressed_ring_ar
1778536717.374062,1,48,1.854547,109.98,198.666,1162.83,0,4,compressed_ring_ar
1778536718.6939209,1,49,1.885005,100.23,342.593,1275.849,0,4,compressed_ring_ar
1778536720.150021,1,50,1.949685,92.09,629.827,1384.868,0,4,compressed_ring_ar
1778536721.46945,1,51,1.866789,100.16,306.526,1270.634,0,4,compressed_ring_ar
1778536722.7575371,1,52,1.883187,103.04,203.06,1234.679,0,4,compressed_ring_ar
1778536723.9401803,1,53,1.892831,111.97,236.484,1141.953,0,4,compressed_ring_ar
1778536725.253356,1,54,1.767643,101.43,285.946,1257.548,0,4,compressed_ring_ar
1778536726.5655963,1,55,1.934056,103.04,232.846,1238.736,0,4,compressed_ring_ar
1778536727.8007834,1,56,1.967611,106.74,335.326,1194.639,0,4,compressed_ring_ar
1778536729.27386,1,57,1.704662,89.23,233.942,1430.57,0,4,compressed_ring_ar
1778536730.7619529,1,58,1.659319,89.82,436.857,1423.958,0,4,compressed_ring_ar
1778536732.1468117,1,59,1.866754,95.18,340.533,1342.008,0,4,compressed_ring_ar
1778536733.5560718,1,60,1.926471,95.02,404.665,1342.119,0,4,compressed_ring_ar
1778536734.8186033,1,61,1.679655,105.24,193.502,1211.719,0,4,compressed_ring_ar
1778536736.0552623,1,62,1.695718,106.69,329.96,1197.642,0,4,compressed_ring_ar
1778536737.3727107,1,63,1.849612,100.43,146.219,1273.258,0,4,compressed_ring_ar
1778536738.737916,1,64,1.70157,97.71,438.249,1303.384,0,4,compressed_ring_ar
1778536740.1539552,1,65,1.828929,93.21,202.67,1371.246,0,4,compressed_ring_ar
1778536741.5244808,1,66,1.682521,96.25,265.005,1328.434,0,4,compressed_ring_ar
1778536742.9051464,1,67,1.8098,95.88,289.952,1328.207,0,4,compressed_ring_ar
1778536744.0613034,1,68,1.666012,115.22,129.917,1108.422,0,4,compressed_ring_ar
1778536745.5989559,1,69,1.750407,87.78,612.121,1456.912,0,4,compressed_ring_ar
1778536746.9826198,1,70,1.796293,95.91,399.131,1329.557,0,4,compressed_ring_ar
1778536748.315635,1,71,1.758528,100.73,197.266,1265.951,0,4,compressed_ring_ar
1778536749.5961285,1,72,1.65243,103.33,189.099,1233.565,0,4,compressed_ring_ar
1778536750.8933456,1,73,1.519071,101.53,243.89,1254.469,0,4,compressed_ring_ar
1778536752.162471,1,74,1.730035,104.05,219.585,1228.76,0,4,compressed_ring_ar
1778536753.6060681,1,75,1.795558,91.43,246.965,1395.606,0,4,compressed_ring_ar
1778536754.7337298,1,76,1.82964,120.67,316.301,1056.482,0,4,compressed_ring_ar
1778536756.0511074,1,77,1.760953,101.08,211.849,1260.046,0,4,compressed_ring_ar
1778536757.3937314,1,78,1.698402,97.86,433.013,1303.313,0,4,compressed_ring_ar
1778536758.5742269,1,79,1.82881,113.04,297.379,1131.236,0,4,compressed_ring_ar
1778536759.8311007,1,80,1.639068,106.37,198.683,1201.283,0,4,compressed_ring_ar
1778536761.0279658,1,81,1.730861,111.09,188.394,1150.08,0,4,compressed_ring_ar
1778536762.5306482,1,82,1.694017,88.91,447.69,1434.093,0,4,compressed_ring_ar
1778536763.9295242,1,83,1.729693,94.16,195.856,1354.707,0,4,compressed_ring_ar
1778536765.3229125,1,84,1.668975,94.95,256.353,1343.402,0,4,compressed_ring_ar
1778536766.6308477,1,85,1.735091,102.09,322.711,1246.945,0,4,compressed_ring_ar
1778536767.9223835,1,86,1.835522,102.81,327.023,1240.932,0,4,compressed_ring_ar
1778536769.1276102,1,87,1.693021,111.43,191.039,1144.319,0,4,compressed_ring_ar
