timestamp,epoch,iteration,loss,throughput_samp_s,comm_latency_ms,iter_time_ms,rank,world_size,arch
1778545150.0160892,1,0,2.457768,61.62,594.962,2076.813,3,4,compressed_ring_ar
1778545151.705578,1,1,2.363362,79.24,206.317,1614.712,3,4,compressed_ring_ar
1778545153.1312952,1,2,2.276038,93.44,189.683,1368.48,3,4,compressed_ring_ar
1778545154.6127853,1,3,2.289049,89.16,170.901,1433.774,3,4,compressed_ring_ar
1778545156.1674447,1,4,2.294722,84.07,552.973,1519.095,3,4,compressed_ring_ar
1778545157.605696,1,5,2.277211,91.38,478.211,1398.479,3,4,compressed_ring_ar
1778545159.0411153,1,6,2.331618,91.78,342.158,1393.263,3,4,compressed_ring_ar
1778545160.4988837,1,7,2.274828,90.52,358.644,1412.827,3,4,compressed_ring_ar
1778545162.0405416,1,8,2.264474,85.96,260.356,1487.802,3,4,compressed_ring_ar
1778545163.3894353,1,9,2.227639,99.13,293.523,1288.796,3,4,compressed_ring_ar
1778545164.7527568,1,10,2.183831,97.27,345.407,1314.465,3,4,compressed_ring_ar
1778545166.2251866,1,11,2.226906,89.1,527.155,1435.354,3,4,compressed_ring_ar
1778545167.599441,1,12,2.252742,96.19,356.98,1329.25,3,4,compressed_ring_ar
1778545168.9819465,1,13,2.213915,96.95,328.16,1318.882,3,4,compressed_ring_ar
1778545170.4840143,1,14,2.110308,87.92,219.689,1454.419,3,4,compressed_ring_ar
1778545171.8545973,1,15,2.157442,97.01,298.805,1318.215,3,4,compressed_ring_ar
1778545173.5018325,1,16,2.179075,79.39,486.71,1611.417,3,4,compressed_ring_ar
1778545174.8419325,1,17,2.101865,99.74,228.555,1282.067,3,4,compressed_ring_ar
1778545176.3280907,1,18,2.163987,89.31,217.636,1431.477,3,4,compressed_ring_ar
1778545177.6830943,1,19,2.117955,98.11,204.164,1300.3,3,4,compressed_ring_ar
1778545179.1813905,1,20,2.088642,87.76,201.351,1457.077,3,4,compressed_ring_ar
1778545180.6300688,1,21,2.156682,92.42,193.512,1382.56,3,4,compressed_ring_ar
1778545181.9804995,1,22,2.045413,97.96,480.811,1305.243,3,4,compressed_ring_ar
1778545183.7945642,1,23,2.084847,72.21,312.538,1771.308,3,4,compressed_ring_ar
1778545185.298055,1,24,2.145329,90.31,221.497,1415.871,3,4,compressed_ring_ar
1778545186.8191645,1,25,2.001134,86.85,190.705,1472.408,3,4,compressed_ring_ar
1778545188.176994,1,26,2.139415,97.17,241.882,1314.321,3,4,compressed_ring_ar
1778545189.6631405,1,27,2.092965,89.57,540.157,1427.629,3,4,compressed_ring_ar
1778545191.2061377,1,28,1.992903,85.45,188.281,1493.696,3,4,compressed_ring_ar
1778545192.5982478,1,29,2.007357,95.08,215.474,1343.498,3,4,compressed_ring_ar
